Year,Material
1559,Etching re
1559,Engraving
1559,Etching re
1559,Engraving
1559,Engraving
1559,Bronze
1559,Etching re
1559,Etching re
1559,Etching re
1559,Etching re
1559,Etching re
1559,Pen and br
1559,Engraving
1559,Etching re
1559,Etching re
1560,Gouache ov
1560,Oil on can
1560,Oil on can
1560,Oil on can
1560,Oil on can
1560,Woodcut on
1561,Woodcut on
1561,Engraving
1561,Engraving
1561,Engraving
1561,Pen and bl
1562,Oil on can
1562,Engraving
1562,Bronze
1562,Engraving 
1562,Engraving
1562,Engraving
1562,Engraving
1563,Engraving
1564,Etching
1564,Etching
1564,Etching
1564,Engraving 
1564,Etching
1564,Etching
1564,Etching
1564,Etching
1564,Etching
1564,Etching
1564,Etching
1564,Etching
1564,Etching
1564,Etching
1565,Engraving
1565,Engraving
1565,Engraving
1565,Engraving
1565,Engraving
1565,Engraving
1566,Chiarascur
1566,Pen and br
1566,Engraving
1567,Woodcut on
1568,Gilded sil
1568,Engraving
1568,Etching on
1568,Engraving
1568,Colored ch
1569,Engraving
1569,Engraving
1570,Pen and br
1570,Engraving 
1570,Oil on fir
1570,Painted te
1570,Woodcut on
1570,Monochrome
1571,Oil on oak
1571,Pen and br
1571,Pen and br
1572,Bronze
1572,Engraving
1572,Engraving
1572,Etching on
1572,Engraving
1573,Oil on can
1574,Engraving
1575,Oil on can
1575,Watercolor
1575,Hand-color
1575,Engraving
1575,Pen and br
1575,Bronze
1575,Watercolor
1575,Engraving
1575,Bronze
1575,1 vol: ill
1575,Watercolor
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1576,Engraving
1578,Oil and te
1578,Engraving 
1579,Engraving
1579,Engraving 
1579,Engraving
1579,Engraving
1580,Engraving
1580,Engraving
1580,Red chalk 
1580,Pen and bl
1580,Engraving
1580,Black chal
1580,Pen and br
1580,Pen and br
1580,Engraving
1580,Oil on can
1580,Pen and bl
1580,Oil on pap
1580,Engraving
1580,Pen and br
1580,Oil on can
1581,Pen and br
1581,Engraving 
1581,Engraving
1582,Engraving
1582,Engraving 
1582,Pen and br
1582,Oil on can
1582,Pen and br
1582,Punch engr
1583,Engraving
1584,Chiaroscur
1585,Opaque wat
1585,Oil on can
1585,Pen and br
1585,Engraving
1585,Engraving
1585,Engraving
1585,Engraving
1585,Chiaroscur
1585,Engraving
1586,Engraving
1586,Engraving 
1587,Engraving 
1587,Engraving 
1587,Engraving
1587,Engraving 
1587,Black and 
1587,Engraving 
1587,Engraving 
1587,Engraving 
1587,Engraving 
1588,Paper with
1588,Chiaroscur
1588,Woodcut
1588,Engraving 
1589,Marble
1589,Oil on can
1589,Engraving 
1589,Engraving
1589,Engraving
1589,Engraving
1589,Engraving
1589,Engraving 
1589,Engraving
1589,Engraving
1589,Engraving
1589,Engraving
1589,Engraving
1590,Opaque wat
1590,Pen and br
1590,Pen and br
1590,Black
1590,Oil on pan
1590,Engraving 
1590,Oil on can
1590,Etching an
1590,Etching an
1590,Pen and in
1590,Gilded bro
1590,Etching an
1591,Etching an
1592,Etching wi
1592,Engraving
1592,Engraving
1592,Engraving
1592,Engraving
1592,Engraving
1592,Engraving 
1592,Engraving 
1592,Engraving
1592,Engraving
1592,Engraving
1592,Engraving
1592,Pen and br
1592,Engraving 
1593,Engraving
1593,Engraving
1593,Engraving
1593,Engraving
1593,Engraving
1593,Engraving
1593,Oil on can
1593,Engraving
1593,Engraving
1594,Engraving 
1595,Ink and pi
1595,Ink and pi
1595,Ink and pi
1595,Ink and pi
1595,Engraving 
1595,Engraving 
1595,Engraving 
1595,Engraving
1595,Engraving 
1595,Pen and br
1595,Engraving 
1596,Opaque wat
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1596,Engraving
1597,Ink and pi
1597,Ink and pi
1597,Ink and pi
1597,Ink and pi
1597,Ink and pi
1597,Oil on can
1597,Engraving 
1597,Etching
1597,Engraving
1597,Engraving
1597,Oil on can
1597,Gouache an
1598,Engraving
1599,Oil on can
1599,Chiaroscur
1599,Chiaroscur
1599,Chiaroscur
1599,Chiaroscur
1599,Chiaroscur
1599,Engraving 
1600,Oil on can
1600,Opaque wat
1600,Flax and o
1600,Oil on can
1600,Engraving
1600,Engraving
1600,Engraving 
1600,Engraving
1600,Pen and bl
1600,Pen and br
1600,Pen and bl
1600,Black and 
1600,Pen and br
1600,Engraving 
1600,Pen and br
1600,Red and bl
1601,Black chal
1601,Engraving 
1601,Engraving
1603,Engraving 
1603,Gilt bronz
1604,Engraving 
1604,Engraving 
1605,Black and 
1606,Engraving
